nkd2007,naziv_opcine,oib,mbs,status,sud_id_nadlezan,sud_id_sluzba,postupak,ino_podruznica,stecajna_masa,likvidacijska_masa,datum_osnivanja,datum_brisanja,sud_id_brisanja,tvrtka_kod_brisanja,poslovni_broj_brisanja,mb,glavna_djelatnost,glavna_podruznica_rbr,mbs_brisanog_subjekta,sifra_zupanije,naziv_zupanije,sifra_opcine,sifra_naselja,naziv_naselja,sifra_ulice,ulica,kucni_broj,kucni_podbroj,drzava_id,naselje_van_sifrarnika,postanski_broj,ime,name,nkd2002,county,municip,size,owner_type,owner_source,cap_source,emp_hour,month_work,revenue_2021,revenue_2022,profit_2021,profit_2022,asset_2021,asset_2022,population_total,nkd2007_name
,Bilje,24950355175,30158782,1,3,3,3,0,0,0,2015-04-16T22:00:00Z,,,,,4371143,4321,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040008,Podunavska ulica,10,,,,,ATUAL j.d.o.o. u likvidaciji,,,,,,,,,,,,,,,,,4772,
,Bilje,25141445350,30203073,1,3,3,1,0,0,0,2018-04-29T22:00:00Z,,,,,4911326,5610,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040007,Ribarska ulica,3,,,,,APO j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,25318337199,30064398,1,3,3,1,0,0,0,1999-04-11T22:00:00Z,,,,,1438042,,,,14,Osječko-baranjska županija,213,36471,Lug,364710003,Ulica Šandora Petefija,52,,55,,,PZ RIT,,,,,,,,,,,,,,,,,4772,
,Bilje,32358776729,30280244,1,3,3,1,0,0,0,2023-09-06T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,36471,Lug,364710003,Ulica Šandora Petefija,349,,,,31328,S.T.M. j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,33072995139,30065251,1,3,3,1,0,0,0,1999-07-06T22:00:00Z,,,,,1456750,,,,14,Osječko-baranjska županija,213,2925,Bilje,,Biljske satnije ZNG,11,A,55,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,35957621158,81478901,1,8,8,1,0,1,0,2022-11-21T23:00:00Z,,,,,,,,80072840,14,Osječko-baranjska županija,213,2925,Bilje,29250034,Vinogradska ulica,17,,55,,,Stečajna masa iza HIPPO GM d.o.o. u stečaju,,,,,,,,,,,,,,,,,4772,
,Bilje,39834040806,30286216,1,3,3,1,0,0,0,2024-02-04T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250037,Zagrebačka ulica,12,,,,31327,Narf d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,41342444953,30072785,1,3,3,1,0,0,0,2002-05-06T22:00:00Z,,,,,1648845,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250004,Ulica kralja Zvonimira,2,,,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,41587113701,30230399,1,3,3,1,0,0,0,2020-02-26T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040003,Ulica Ferenca Kiša,7,,,,,ADRENALIN GAME j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,44637745278,30135237,1,3,3,1,0,0,0,2013-07-25T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250019,Ulica Lajoša Košuta,3,,55,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,49870175543,130084680,1,3,3,1,0,0,0,2018-07-04T22:00:00Z,,,,,4946456,4321,,,14,Osječko-baranjska županija,213,2925,Bilje,29250015,Blatna ulica,52,,55,,,KESO BILJE j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,55307409284,30202370,1,3,3,1,0,0,0,2018-04-09T22:00:00Z,,,,,4896122,4711,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040003,Ulica Ferenca Kiša,7,,,,,BIFFCO d.o.o.,,,,,,,,,,,39484549,46923897,-437239,-125784,5994068,5116767,4772,
,Bilje,55321040601,30282004,1,3,3,1,0,0,0,2023-10-12T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250030,Ulica Šandora Petefija,1,,,,,F. F. GRIC d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,57688453874,30239839,1,3,3,1,0,0,0,2020-12-08T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040003,Ulica Ferenca Kiša,7,,,,,PREMIUM MARINA d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,58119784524,30119833,1,3,3,1,0,0,0,2012-03-06T23:00:00Z,,,,,2863707,8412,,,14,Osječko-baranjska županija,213,2925,Bilje,29250030,Ulica Šandora Petefija,78,,55,,,Ustanova Media Hungarica,,,,,,,,,,,,,,,,,4772,
,Bilje,62428114050,30011485,1,3,3,1,0,0,0,1993-04-18T22:00:00Z,,,,,327522,4669,,,14,Osječko-baranjska županija,213,2925,Bilje,29250026,Ulica kralja Tomislava,81,,55,,,ADEO d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,62605612942,30159726,1,3,3,3,0,0,0,2015-05-05T22:00:00Z,,,,,4380720,4511,,,14,Osječko-baranjska županija,213,2925,Bilje,29250002,Dubrovačka ulica,34,,,,,CAYMAN AUTOMOBILI j.d.o.o. u likvidaciji,,,,,,,,,,,,,,,,,4772,
,Bilje,66539347631,30287522,1,3,3,1,0,0,0,2024-03-10T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250010,Ulica kneza Branimira,14,,,,31327,Tennaco d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,66896186365,30271485,1,3,3,1,0,0,0,2023-01-31T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250004,Ulica kralja Zvonimira,6,,55,,,PEKARNICA ČENAJ j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,68291849331,30240881,1,3,3,1,0,0,0,2021-01-17T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250050,Ulica 3. rujna,11,,,,,MONDIAL j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,69879449790,30147353,1,3,3,1,0,0,0,2014-06-02T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250024,Ribarska ulica,33,,,,,MIF elektronika j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,70166548941,30280324,1,3,3,1,0,0,0,2023-09-07T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040007,Ribarska ulica,86,,,,,ekser j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,71083092849,30281052,1,3,3,1,0,0,0,2023-09-24T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,67237,Vardarac,672370011,Ulica Šandora Petefija,133,,55,,,MISTER X j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,71655974888,81370938,1,8,8,1,0,1,0,2021-05-09T22:00:00Z,,,,,,,,80675198,14,Osječko-baranjska županija,213,2925,Bilje,29250034,Vinogradska ulica,17,,55,,,Stečajna masa iza JASMINKA d.o.o. u stečaju,,,,,,,,,,,,,,,,,4772,
,Bilje,72901188875,30273518,1,3,3,1,0,0,0,2023-03-21T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250016,Ulica Hrvatske vojske,15,,,,,LEBOX j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,74072931429,30106950,1,3,3,1,0,0,0,2010-02-09T23:00:00Z,,,,,2611503,3012,,,14,Osječko-baranjska županija,213,2925,Bilje,29250014,Vukovarska ulica,31,,55,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,77805945007,30001505,1,3,3,1,0,0,0,,,,,,3305651,8520,,,14,Osječko-baranjska županija,213,2925,Bilje,29250003,Školska ulica,8,,,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,83300915486,30280855,1,3,3,1,0,0,0,2023-09-20T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250013,Ulica Ivana Mažuranića,22,,,,31327,ENERGIKUM j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,85126687785,30278337,1,3,3,1,0,0,0,2023-07-18T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250033,Ulica Josipa Jurja Strossmayera,11,A,,,,Z-DEVELOPMENT d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,85145312108,30276472,1,3,3,1,0,0,0,2023-06-05T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250020,Ulica Matije Gupca,9,,,,,LAFI j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,88315781150,30288095,1,3,3,1,0,0,0,2024-03-18T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250014,Vukovarska ulica,5,,,,,Empextra d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,88361180271,30281181,1,3,3,1,0,0,0,2023-09-26T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250015,Blatna ulica,66,,,,,H-Moniq j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,89284969078,30258451,1,3,3,1,0,0,0,2022-03-24T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040015,Biljska šuma,1,,,,,ORLOV PUT  j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,91426739728,30279928,1,3,3,1,0,0,0,2023-08-31T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250013,Ulica Ivana Mažuranića,52,,,,,Dobrovit j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,94817417618,30105826,1,3,3,1,0,0,0,2009-11-12T23:00:00Z,,,,,2578794,113,,,14,Osječko-baranjska županija,213,36471,Lug,364710003,Ulica Šandora Petefija,92,,55,,,,,,,,,,,,,,,,,,,,4772,
,Bilje,98136000639,30279161,1,3,3,1,0,0,0,2023-08-10T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,213,2925,Bilje,29250004,Ulica kralja Zvonimira,74,A,,,31327,Nikolor j.d.o.o.,,,,,,,,,,,,,,,,,4772,
,Bilje,98988824554,30057306,1,3,3,1,0,0,0,1997-12-16T23:00:00Z,,,,,1334239,9104,,,14,Osječko-baranjska županija,213,30104,Kopačevo,301040017,Mali sakadaš,1,,55,,,,,,,,,,,,,,,,,,,,4772,
,Draž,01316341053,30091925,1,3,3,1,0,0,0,2007-04-12T22:00:00Z,,,,,2219441,,,,14,Osječko-baranjska županija,914,65200,Topolje,,Hrv. Branitelja,42,,,,,PZ BAJMAK,,,,,,,,,,,,,,,,,1949,
,Draž,07385895066,30152832,1,3,3,1,0,0,0,2014-11-11T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,17345,Gajić,173450006,Vladimira Nazora,36,,55,,,DALIS d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,15537741006,30238934,1,3,3,1,0,0,0,2020-11-19T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,65200,Topolje,652000001,Republike,24,,,,,PANNONIAN PHARMACEUTICALS j.d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,15682705136,30269353,1,3,3,1,0,0,0,2022-12-15T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,14770,Draž,147700001,Braće Radić,53,,,,,Hotel Baranja d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,17223587883,30044255,1,3,3,1,0,0,0,,,,,,3307034,,,,14,Osječko-baranjska županija,914,65200,Topolje,652000001,Republike,50,,,,,P.Z.TOPOLJE,,,,,,,,,,,,,,,,,1949,
,Draž,18151315989,30271895,1,3,3,1,0,0,0,2023-02-09T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,1589,Batina,15890020,Vladimira Nazora,61,,,,,JORAF WORK SERVICE j.d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,30762567652,30270829,1,3,3,1,0,0,0,2023-01-17T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,15377,Duboševica,153770009,Braće Radić,37,,,,,EMA BAU j.d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,34365247679,30001556,1,3,3,1,0,0,0,,,,,,3305732,8520,,,14,Osječko-baranjska županija,914,14770,Draž,147700008,Ive Lole Ribara,1,,,,,,,,,,,,,,,,,,,,,,1949,
,Draž,39216004867,30036669,1,3,3,1,0,0,0,1996-10-23T22:00:00Z,,,,,1231685,,,,14,Osječko-baranjska županija,914,15377,Duboševica,153770001,Trg hrvatske mladeži,2,,,,,MASTERPLAST d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,47093623601,30283568,1,3,3,1,0,0,0,2023-11-16T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,1589,Batina,15890015,Planina zapad,146,,55,,,CEDRUM PROJEKT j.d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,50542467019,30280068,1,3,3,1,0,0,0,2023-09-03T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,1589,Batina,15890015,Planina zapad,146,,,,,MARKO SOLAR d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,68617336415,30257070,1,3,3,1,0,0,0,2022-02-22T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,1589,Batina,15890021,Zeleni otok,89,,55,,,BTZ DUNAVSKI SNOVI,,,,,,,,,,,,,,,,,1949,
,Draž,79238566739,30268385,1,3,3,1,0,0,0,2022-11-14T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,1589,Batina,15890020,Vladimira Nazora,54,,,,,RubyCI j.d.o.o.,,,,,,,,,,,,,,,,,1949,
,Draž,81081623219,30279686,1,3,3,1,0,0,0,2023-08-29T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,914,1589,Batina,15890001,Crkvena,9,,,,,SOLAROID d.o.o.,,,,,,,,,,,,,,,,,1949,
,Erdut,00307094055,30063789,1,3,3,1,0,0,0,1999-02-28T23:00:00Z,,,,,1429973,,,,14,Osječko-baranjska županija,1104,16446,Erdut,164460015,Trg Branka Hercega,1,,,,,ERDUTSKI VINOGRADI d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,00796254883,30264956,1,3,3,1,0,0,0,2022-09-13T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970019,Zdravka Kovčalije,21,A,,,,ADONIS BAU j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,04932193178,80565944,1,3,3,1,0,0,0,2006-06-08T22:00:00Z,,,,,2088029,,,,14,Osječko-baranjska županija,1104,16446,Erdut,164460022,Rudina Busija polje,12,,,,,OBLIGATIO d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,11031535607,30276421,1,3,3,1,0,0,0,2023-06-05T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,2801,Bijelo Brdo,28010010,Vladimira Nazora,42,,,,,ZGRUNT 79 j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,11646771177,30072347,1,3,3,1,0,0,0,2002-03-12T23:00:00Z,,,,,1625047,,,,14,Osječko-baranjska županija,1104,10197,Dalj,,Ullica Bana Josipa Jelačića,12,,,,,,,,,,,,,,,,,,,,,,5436,
,Erdut,16580377908,30001572,1,3,3,1,0,0,0,,,,,,3013766,8520,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970002,Zagrebačka,,bb,,,,,,,,,,,,,,,,,,,,,5436,
,Erdut,18286842503,30279032,1,3,3,1,0,0,0,2023-08-07T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,2801,Bijelo Brdo,28010008,Kralja Zvonimira,16,,,,,BOGEN j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,31949524992,30238305,1,3,3,1,0,0,0,2020-11-02T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,16446,Erdut,164460011,Augusta Šenoe,16,,55,,,SADNICA d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,35954404686,30099815,1,3,3,1,0,0,0,2008-09-11T22:00:00Z,,,,,2424401,,,,14,Osječko-baranjska županija,1104,10197,Dalj,,Glogovi,21,,55,,,PZ GLOGOVI,,,,,,,,,,,,,,,,,5436,
,Erdut,38651174884,30106683,1,3,3,1,0,0,0,2010-01-31T23:00:00Z,,,,,2610493,111,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970003,Bana Josipa Jelačića,12,,55,,,PZ AGRO-DUNAV,,,,,,,,,,,,,,,,,5436,
,Erdut,42749097677,30060774,1,3,3,1,0,0,0,1998-06-16T22:00:00Z,,,,,1379950,,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970005,Braće Radića,7,,,,,SŠ Dalj,,,,,,,,,,,,,,,,,5436,
,Erdut,43256526767,30112219,1,3,3,1,0,0,0,2011-01-26T23:00:00Z,,,,,2722909,119,,,14,Osječko-baranjska županija,1104,108,Aljmaš,,Kod Bagremika,10,,55,,,BZ TERRA VITAE,,,,,,,,,,,,,,,,,5436,
,Erdut,45236388470,30286273,1,3,3,1,0,0,0,2024-02-06T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,108,Aljmaš,1080002,Matije Gupca,28,,,,31205,Upanishad d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,48875379920,30278722,1,3,3,1,0,0,0,2023-07-27T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,16446,Erdut,164460019,Naselje Zrinskih Frankopana,84,,55,,,P.E. BRAVARIJA j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,54770662837,30277078,1,3,3,1,0,0,0,2023-06-20T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,2801,Bijelo Brdo,28010011,Ratarska,19,,,,31204,HC SERVIS j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,60680262478,30117661,1,3,3,1,0,0,0,2011-11-24T23:00:00Z,,,,,2820722,142,,,14,Osječko-baranjska županija,1104,108,Aljmaš,,Balinac,33,,55,,,BZ UTVRDA ZIDINE,,,,,,,,,,,,,,,,,5436,
,Erdut,73540135415,30279717,1,3,3,1,0,0,0,2023-08-29T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970007,Josipa Astaloša,52,,,,,CORN j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,75359693115,30191330,1,3,3,3,0,0,0,2017-07-25T22:00:00Z,,,,,4761332,125,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970016,Kardinala Alojzija Stepinca,25,,,,,BERRY FACTORY j.d.o.o. u likvidaciji,,,,,,,,,,,,,,,,,5436,
,Erdut,77424806801,30169166,1,3,3,1,0,0,0,2016-01-25T23:00:00Z,,,,,4490215,147,,,14,Osječko-baranjska županija,1104,16446,Erdut,164460008,Žrtava Domovinskog rata,32,,,,,GALIT j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,78598666443,30001492,1,3,3,1,0,0,0,,,,,,3021521,8520,,,14,Osječko-baranjska županija,1104,2801,Bijelo Brdo,28010006,Nikole Tesle,71,,,,,,,,,,,,,,,,,,,,,,5436,
,Erdut,79811874254,30191645,1,3,3,1,0,0,0,2017-08-01T22:00:00Z,,,,,4764072,8121,,,14,Osječko-baranjska županija,1104,108,Aljmaš,1080009,Rudina Stepanićevac,26,,,,,A.D.M. COMPANY OSIJEK j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,80515660363,30286562,1,3,3,1,0,0,0,2024-02-11T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970037,Hrvatskih gardista,11,,,,,G-DRIVE j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,82786775383,30270087,1,3,3,1,0,0,0,2022-12-28T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,108,Aljmaš,1080028,Rudina Čvorkovac,66,,,,,TRUCK LOGISTIC j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,87538123900,30121078,1,3,3,1,0,0,0,2012-04-26T22:00:00Z,,,,,2873338,124,,,14,Osječko-baranjska županija,1104,10197,Dalj,,Planina,56,,55,,,,,,,,,,,,,,,,,,,,5436,
,Erdut,88486980472,30282471,1,3,3,1,0,0,0,2023-10-25T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,108,Aljmaš,1080015,Rudina kod Vilme,68,,55,,,Alternativni centar Soror Freya d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,89417088988,30270167,1,3,3,1,0,0,0,2023-01-02T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,108,Aljmaš,1080018,Rudina Čauševac,63,,55,,,BI-MARK j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,90843605627,30280935,1,3,3,1,0,0,0,2023-09-21T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970009,Boška Paradžika,53,,,,,SAVIĆ BAU j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,94767874052,30279651,1,3,3,1,0,0,0,2023-08-28T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,2801,Bijelo Brdo,28010007,Branka Radičevića,6,,,,,SN TERRA j.d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,95102902435,30130878,1,3,3,1,0,0,0,2013-04-08T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,10197,Dalj,,J.Astaloša,72,,,,,R.V.COMMERCE d.o.o.,,,,,,,,,,,,,,,,,5436,
,Erdut,95484502690,30104163,1,3,3,1,0,0,0,2009-06-17T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1104,10197,Dalj,101970025,Zlatka Takača,13,,55,,,,,,,,,,,,,,,,,,,,5436,
,Kneževi Vinogradi,08589277634,30048070,1,3,3,1,0,0,0,1997-04-09T22:00:00Z,,,,,1282727,,,,14,Osječko-baranjska županija,1953,61743,Suza,617430002,Maršala Tita,98,,,,,PZ PODRUM,,,,,,,,,,,,,,,,,3357,
,Kneževi Vinogradi,09224635745,30253239,1,3,3,1,0,0,0,2021-11-09T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1953,27758,Karanac,277580004,Petefi Šandora,1,S,,,,OBLAK GRADNJA j.d.o.o.,,,,,,,,,,,,,,,,,3357,
,Kneževi Vinogradi,14735637113,30253247,1,3,3,1,0,0,0,2021-11-09T23:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1953,27758,Karanac,277580004,Petefi Šandora,1,S,,,,SAMKE GRADNJA j.d.o.o.,,,,,,,,,,,,,,,,,3357,
,Kneževi Vinogradi,18273535294,30278933,1,3,3,1,0,0,0,2023-08-06T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1953,61743,Suza,617430002,Maršala Tita,139,,,,31309,KiSs vin d.o.o.,,,,,,,,,,,,,,,,,3357,
,Kneževi Vinogradi,20946543795,30279311,1,3,3,1,0,0,0,2023-08-17T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1953,61743,Suza,617430002,Maršala Tita,111,,,,,MOBO SERVICE j.d.o.o.,,,,,,,,,,,,,,,,,3357,
,Kneževi Vinogradi,29676373000,30056676,1,3,3,1,0,0,0,1997-11-23T23:00:00Z,,,,,1337025,2229,,,14,Osječko-baranjska županija,1953,29297,Kneževi Vinogradi,292970001,Glavna,2,,55,,,BP GROUP d.o.o.,,,,,,,,,,,,,,,,,3357,
,Kneževi Vinogradi,32490123060,30278851,1,3,3,1,0,0,0,2023-08-02T22:00:00Z,,,,,,,,,14,Osječko-baranjska županija,1953,73431,Zmajevac,734310005,Petefi Šandora,75,,,,31307,Rebag j.d.o.o.,,,,,,,,,,,,,,,,,3357,
,Kneževi Vinogradi,37120416755,30068081,1,3,3,1,0,0,0,2000-07-30T22:00:00Z,,,,,1510487,125,,,14,Osječko-baranjska županija,1953,29297,Kneževi Vinogradi,292970027,Put jabuke,1,,55,,,RABO d.o.o.,,,,,,,,,,,,,,,,,3357,
